visit date,visit platform,visit country
2013-08-18,iOS,france
2013-08-20,iOS,france
2013-08-21,iOS,france
2013-08-22,iOS,france
2013-08-23,iOS,france
2013-08-25,iOS,france
2013-08-26,iOS,france
2013-08-28,iOS,france
2013-08-29,iOS,france
2013-08-30,iOS,france
2013-08-31,iOS,france
2013-09-06,iOS,france
2013-09-20,iOS,france
2013-09-22,iOS,france
2013-09-23,iOS,france
2013-09-26,iOS,france
2013-09-27,iOS,france
2013-09-28,Web or Other,france
2013-09-28,iOS,france
2013-09-29,Web or Other,unknown / not tracked
2013-09-29,iOS,france
2013-09-30,Web or Other,unknown / not tracked
2013-09-30,iOS,france
2013-10-05,iOS,france
2013-10-13,iOS,france
2013-10-16,iOS,france
2013-10-17,iOS,france
2013-10-19,iOS,france
2013-10-22,iOS,france
2013-11-04,iOS,france
2013-11-17,iOS,france
2013-11-30,iOS,france
2013-12-01,iOS,france
2013-12-05,iOS,france
2013-12-08,iOS,france
2013-12-31,iOS,france
2014-01-10,iOS,france
2014-01-18,iOS,france
2014-03-23,iOS,france
2014-03-27,iOS,france
2014-04-03,iOS,france
2014-05-25,iOS,france
2014-06-20,iOS,united states of america
2014-07-04,iOS,united states of america
2014-08-07,iOS,united states of america
2014-08-16,iOS,united states of america
2014-08-25,iOS,united states of america
2014-10-07,iOS,united states of america
2014-10-08,iOS,united states of america
2014-10-16,iOS,united states of america
2014-12-15,iOS,united states of america
2015-04-15,iOS,united states of america
2015-04-24,iOS,united states of america
2015-05-04,iOS,united states of america
2016-07-02,iOS,france
2016-09-05,iOS,france
2016-09-09,iOS,france
2016-09-10,iOS,france
2016-09-11,iOS,france
2016-09-12,iOS,france
2016-09-19,iOS,france
2016-09-24,iOS,france
2016-09-25,iOS,france
2016-09-26,iOS,france
2016-09-27,iOS,france
2016-09-28,iOS,france
2016-09-29,iOS,france
2016-09-30,iOS,france
2016-10-01,iOS,france
2016-10-02,iOS,france
2016-10-05,iOS,france
2016-10-07,iOS,france
2016-10-08,iOS,france
2016-10-12,iOS,france
2016-10-28,iOS,france
2016-10-29,iOS,france
2017-01-15,iOS,france
2017-02-18,iOS,unknown / not tracked
2017-03-24,iOS,unknown / not tracked
2017-03-28,iOS,unknown / not tracked
2018-09-17,iOS,france
2018-09-18,iOS,france
2018-09-19,iOS,france
2018-09-20,iOS,france
2018-09-24,iOS,france
2018-09-26,iOS,france
2018-09-27,iOS,france
2018-09-30,iOS,france
2018-10-01,iOS,france
2018-10-02,iOS,france
2018-10-04,iOS,france
2018-10-13,iOS,france
2018-10-14,iOS,france
2018-10-23,iOS,unknown / not tracked
2018-11-11,iOS,france
2019-04-25,iOS,france
2019-04-30,iOS,czech republic
2019-05-01,iOS,czech republic
2019-05-02,iOS,france
2019-05-22,iOS,czech republic
2019-06-02,iOS,czech republic
2019-06-10,iOS,croatia
2019-06-15,iOS,france
2019-07-03,iOS,unknown / not tracked
2019-07-09,iOS,france
2019-07-15,iOS,france
2019-07-20,iOS,france
2019-07-21,iOS,france
2019-07-22,iOS,france
2019-07-24,iOS,france
2019-07-26,iOS,france
2019-07-27,iOS,france
2019-07-31,iOS,france
2019-08-02,iOS,france
2019-08-07,iOS,france
2019-08-10,iOS,france
2019-08-16,iOS,france
2019-08-20,iOS,france
2019-08-21,iOS,france
2019-08-24,iOS,unknown / not tracked
2019-08-28,iOS,france
2019-08-30,iOS,france
2019-08-31,iOS,france
2019-09-02,iOS,france
2019-10-01,iOS,france
2019-10-10,iOS,france
2019-11-01,iOS,france
2019-11-05,iOS,unknown / not tracked
2020-01-02,iOS,france
2020-01-03,iOS,france
2020-01-04,iOS,unknown / not tracked
2020-01-08,iOS,france
2020-01-13,iOS,france
2020-02-03,iOS,france
2020-02-08,iOS,france
2020-02-09,iOS,france
2020-02-11,iOS,france
2020-02-15,iOS,france
2020-02-17,iOS,france
2020-02-19,iOS,unknown / not tracked
2020-02-23,iOS,france
2020-02-24,Web or Other,france
2020-02-24,iOS,france
2020-02-25,Web or Other,france
