Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
106fc7b8-b481-4e91-a27c-d0a530a64863,2020-02-23 16:30:57,Running,,8.01,40:57,5:07,11.73,749.0,125,,"Eloi Spart Gr,","",2020-02-23-163057.gpx
ab9c4f07-c593-4095-8324-3bfc34bfcb4e,2020-02-15 10:01:55,Running,,8.68,44:36,5:09,11.67,791.0,85,,"","",2020-02-15-100155.gpx
9d9bd11a-e46b-47c2-9c14-28cda1d00d05,2020-02-09 08:14:39,Running,,6.01,28:38,4:46,12.58,553.0,70,,"","",2020-02-09-081439.gpx
db13c7ae-2138-4317-a656-1c409ffa5390,2020-01-13 10:10:09,Running,,6.02,31:45,5:17,11.37,555.0,75,,"","",2020-01-13-101009.gpx
8446601f-3e7d-4314-8093-5afa57fb3b22,2020-01-08 09:17:15,Running,,6.75,35:38,5:17,11.37,622.0,81,,"","",2020-01-08-091715.gpx
d0b817e3-0942-40ae-a022-4e27158f7b96,2020-01-02 19:17:48,Running,,5.74,31:52,5:33,10.80,524.0,57,,"Alan Roussel,","",2020-01-02-191748.gpx
9f9b5683-177d-4002-9b56-dd55da81414d,2019-10-10 11:20:07,Running,,3.08,16:07,5:14,11.47,281.0,48,,"","",2019-10-10-112007.gpx
26636af2-20c6-4fc1-ac70-dcafcab96019,2019-10-10 11:00:33,Running,,3.81,18:12,4:47,12.56,349.0,50,,"","",2019-10-10-110033.gpx
69f10c99-bd61-4195-95de-d8e3f54b9efc,2019-08-30 20:18:32,Running,,2.40,10:06,4:13,14.24,208.0,9,,"Alan Roussel,","",2019-08-30-201832.gpx
f8405593-2f61-4c04-a8fa-1ad118362012,2019-08-21 09:50:29,Running,,5.17,29:10,5:39,10.62,466.0,31,,"","",2019-08-21-095029.gpx
cee3fe2a-e16e-4129-a849-610b57d73b3a,2019-08-16 11:48:26,Cycling,,2.29,5:30,2:24,24.95,66.0,24,,"","",2019-08-16-114826.gpx
e13c1094-c33f-4c86-b5fc-f1b176b3786f,2019-08-16 11:41:11,Cycling,,1.65,4:23,2:40,22.52,44.0,16,,"","",2019-08-16-114111.gpx
be99e22a-6a04-48c6-b207-90fdd0d13eb3,2019-08-10 19:19:03,Running,,2.53,11:28,4:33,13.21,233.0,31,,"","",2019-08-10-191903.gpx
7025fbd0-29dd-400e-a1e1-ef82c3d50ea0,2019-08-10 18:57:59,Cycling,,8.05,17:22,2:10,27.79,218.0,112,,"","",2019-08-10-185759.gpx
2d565f9b-f765-434b-9d5b-4cfb8050904d,2019-08-07 19:55:01,Cycling,,28.70,1:20:00,2:47,21.53,867.157407407408,0,,"","",
103ace40-18e4-4469-9e60-87fbd0afa08d,2019-08-07 18:28:56,Running,,9.97,53:29,5:22,11.18,939.0,198,,"Alan Roussel,","",2019-08-07-182856.gpx
90c7f9ef-4f4c-41b7-b1b8-cd44f2bc95cc,2019-07-31 17:08:57,Cycling,,11.43,27:29,2:24,24.94,325.0,108,,"","",2019-07-31-170857.gpx
7572d9cb-9694-4bdc-a97e-b4d281f233b3,2019-07-21 18:46:08,Running,,2.81,21:49,7:47,7.71,257.0,36,,"Alan Roussel,","",2019-07-21-184608.gpx
35437cd4-61b4-4aea-a922-2d4f6e4ca13c,2019-07-09 11:24:02,Running,,1.66,9:31,5:45,10.44,157.0,35,,"","",2019-07-09-112402.gpx
4244caf3-693c-427f-ad8e-338cc3423df9,2019-07-09 10:08:02,Running,,7.70,48:18,6:16,9.56,689.0,133,,"","",2019-07-09-100802.gpx
6a3d8258-749e-4280-b32a-a6a16179bc16,2019-06-15 19:25:46,Running,,5.64,28:43,5:06,11.77,527.0,89,,"Alan Roussel,","",2019-06-15-192546.gpx
815a6969-206f-4ab2-a753-d35e70c3e581,2019-05-02 18:49:07,Running,,10.18,49:38,4:53,12.30,934.0,120,,"","",2019-05-02-184907.gpx
05a956b4-1ba6-460a-b974-446f9d898dad,2018-11-11 16:38:03,Running,,7.58,41:01,5:25,11.09,686.0,63,,"","",2018-11-11-163803.gpx
eddbffbd-2101-4a90-831d-008af8bd6fce,2018-10-14 11:04:15,Running,,10.30,50:19,4:53,12.28,955.531927083333,0,,"","",
1f90d5d3-365a-4024-add4-08151f22d25c,2018-10-04 19:19:12,Running,,8.61,46:16,5:23,11.16,784.0,72,,"","",2018-10-04-191912.gpx
49e9299b-6a86-4eba-aa30-5e0be64ceed3,2018-10-02 18:26:10,Running,,7.63,45:22,5:57,10.08,700.0,79,,"","",2018-10-02-182610.gpx
217af01b-6f9a-438b-b612-0f7dd59c7ca1,2018-09-30 17:49:00,Running,,11.21,1:10:19,6:17,9.56,1010.0,91,,"","",2018-09-30-174900.gpx
afa4341c-ee95-4009-9877-041ec19d9c70,2018-09-26 18:57:34,Running,,8.36,46:43,5:35,10.74,759.0,70,,"","",2018-09-26-185734.gpx
1ad3af5d-20ac-4aca-a46e-fa35fcf62ac3,2018-09-24 10:43:25,Running,,7.89,47:59,6:05,9.87,718.0,68,,"","",2018-09-24-104325.gpx
cc1cad60-28a8-42e2-99c0-4431e394b888,2018-09-20 13:15:40,Cycling,,5.82,18:08,3:07,19.23,161.0,39,,"","",2018-09-20-131540.gpx
d3bcb298-4f80-44c7-b7f4-023cd8d7c49e,2018-09-20 08:20:45,Running,,9.39,1:02:23,6:39,9.03,844.0,79,,"","",2018-09-20-082045.gpx
2238c658-6d4f-41b7-800c-c214769b19a1,2018-09-17 08:13:53,Running,,7.63,46:36,6:06,9.83,697.0,73,,"","",2018-09-17-081353.gpx
4692f737-6720-46ee-9c15-69794ce7879a,2016-10-05 18:51:50,Running,,5.96,30:54,5:11,11.57,537.0,46,,"","",2016-10-05-185150.gpx
33a8f56f-1b0e-4bde-a468-b759dc753775,2016-10-02 15:36:02,Cycling,,12.51,32:28,2:36,23.10,332.0,93,,"","",2016-10-02-153602.gpx
802badbb-a635-4891-8c14-b4123e0995a6,2016-10-01 08:06:31,Running,,3.99,20:02,5:02,11.93,358.0,31,,"","",2016-10-01-080631.gpx
bcba1776-de28-4c43-9778-fd66f90fa2b8,2016-09-30 20:13:59,Cycling,,4.20,10:54,2:36,23.07,119.0,30,,"","",2016-09-30-201359.gpx
0c2cb91f-d8a6-4a21-98af-f8eaee8ae2a9,2016-09-30 18:30:15,Swimming,,2.00,1:30:00,45:00,1.33,510.0,0,,"","",
625310e0-55fb-448f-a9c9-cbb7e2c3c860,2016-09-30 18:17:39,Cycling,,4.26,11:36,2:44,21.99,127.0,34,,"","",2016-09-30-181739.gpx
a503d108-9305-4b16-80a5-997bd949e57f,2016-09-29 19:19:10,Running,,4.03,19:12,4:46,12.57,361.0,26,,"","",2016-09-29-191910.gpx
db96d225-8704-4697-b572-2c2ffdfb1a70,2016-09-27 19:20:39,Running,,3.84,19:21,5:02,11.91,342.0,26,,"","",2016-09-27-192039.gpx
56fba971-a3e5-4b2e-a773-a88a9ba3b6b4,2016-09-25 16:15:15,Cycling,,10.05,23:50,2:22,25.29,265.0,76,,"","",2016-09-25-161515.gpx
8764fa21-6be4-4312-ba25-f209380a1e60,2016-09-11 18:07:46,Running,,4.52,21:13,4:42,12.77,408.0,42,,"","",2016-09-11-180746.gpx
eab29fa1-bce1-4cdd-b7b7-7508e853dd18,2016-07-02 12:32:32,Running,,4.29,23:58,5:35,10.74,303.0,18,,"","",2016-07-02-123232.gpx
3b476f61-c50a-4f0d-a592-a17b8a24881d,2014-10-07 17:21:02,Running,,8.55,29:25,3:27,17.43,381.138898440042,68,,"","",2014-10-07-172102.gpx
eeeabbfe-3b75-4f21-bf6d-d3a83b35761a,2014-03-23 10:13:51,Running,,9.20,55:25,6:02,9.95,659.0,524,,"","",2014-03-23-101351.gpx
825dee82-e2f2-41c4-a83e-cb8691932f69,2013-12-08 15:12:27,Running,,7.62,45:15,5:56,10.10,451.0,68,,"","",2013-12-08-151227.gpx
b6555216-bc9d-47f7-90fc-5d5d2654832c,2013-11-30 14:12:49,Running,,10.20,56:38,5:33,10.80,608.0,79,,"","",2013-11-30-141249.gpx
0f1291db-91fa-4721-b6a9-6b95f146b5a6,2013-10-22 16:14:17,Running,,4.35,23:09,5:19,11.28,255.0,37,,"","",2013-10-22-161417.gpx
efa90a6f-c1d3-4889-93f9-7c165279d665,2013-10-19 18:12:53,Cycling,,9.02,26:21,2:55,20.53,175.0,64,,"","",2013-10-19-181253.gpx
1ed123b0-6934-4bf4-82d7-86858c4f11e0,2013-10-16 17:23:08,Running,,3.80,19:47,5:12,11.52,228.0,24,,"","",2013-10-16-172308.gpx
912a1102-f9af-43c1-a030-31246d115180,2013-10-13 17:32:06,Running,,2.65,14:41,5:33,10.81,154.0,17,,"","",2013-10-13-173206.gpx
